ID,capacity,diameter,height,manufacturer,lon,lat,type,time_res,bucket,cluster,scalar,offset,run_name,obs_level,country,mode,obs_rank
0003012123_E20,3300.0,126.0,110.0,VESTAS,4.232694890417999,49.62526643482175,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012123_E21,3300.0,126.0,110.0,VESTAS,4.228730480129868,49.62090282577434,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012123_E22,3300.0,126.0,110.0,VESTAS,4.224766744227627,49.61653906563091,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012123_E23,3300.0,126.0,110.0,VESTAS,4.2203068859329775,49.611640903799675,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012123_E3,3300.0,126.0,110.0,VESTAS,4.13320081908278,49.63045867780632,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012123_E4,3300.0,126.0,110.0,VESTAS,4.122844148608647,49.62758907267496,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012123_E5,3300.0,126.0,110.0,VESTAS,4.1124886370689735,49.62471857581109,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012123_E6,3300.0,126.0,110.0,VESTAS,4.174364467501101,49.631146412134015,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012123_E7,3300.0,126.0,110.0,VESTAS,4.166009464439785,49.62880033324895,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012123_E8,3300.0,126.0,110.0,VESTAS,4.155858769439031,49.625931545188394,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
0003012123_E9,3300.0,126.0,110.0,VESTAS,4.145738878854171,49.623151491500614,onshore,fixed,1/1,0,0.3974220474783264,0.0,FR-onshore-obs_country-corrected-calc_z0,country,FR,onshore,1
